Title|Author|Genre|Series|Year|Synopsis|Path|ProcessingDate|FileCount|TotalSizeMB|CoverArtFound
El Cerebro Motivado|Marina R. Pinto|Self-help|Unknown|2017|This book explores the neuroscience and psychology of motivation, offering insights and practical strategies to understand how the brain works to achieve goals, overcome obstacles, and unlock personal potential.|Marina R. Pinto\El Cerebro Motivado|2025-10-06 16:21:44|1|69.14|False
El Proyecto 73|Viky Ihler|Science Fiction Romance|Saga El Proyecto|2013|In a dystopian future where humanity lives underground due to a devastating plague, Elara is chosen for 'The Project 73,' a perilous mission to the surface that uncovers long-hidden secrets about their society and leads to a forbidden connection.|Viky Ihler\El Proyecto 73|2025-10-06 16:21:57|1|23.77|False
El Valor de la Atención: Por Qué Nos la Robaron y Cómo Recuperarla|Catherine Price|Self-Help|Unknown|2018|This book delves into the critical role of attention in contemporary society, explaining how constant digital distractions and smartphone usage have eroded our ability to focus. It provides insights into the mechanisms that steal our attention and offers practical strategies and a step-by-step guide to reclaim focus, improve mental clarity, and enhance overall well-being in an increasingly connected world.|Catherine Price\El Valor de la Atención Por Qué Nos la Robaron y Cómo Recuperarla|2025-10-06 16:22:09|1|319.39|False
La leyenda del ladrón|Juan Gómez Jurado|Historical Thriller|Unknown|2012|Set in 15th-century Málaga during the tumultuous period of the Reconquista, this historical thriller follows Tomás, a young and ambitious man whose life takes an unexpected turn when he is embroiled in a dangerous conspiracy involving power, ancient secrets, and a legendary treasure. He must navigate a world of intrigue, betrayal, and violence to uncover the truth and survive.|Juan Gómez Jurado\La leyenda del ladrón|2025-10-06 16:22:23|1|533.24|True
De la Tierra a la Luna|Jules Verne|Science Fiction|Voyages Extraordinaires|1865|A group of American post-Civil War artillerymen of the Baltimore Gun Club conceive and execute a plan to build an enormous cannon to launch a manned projectile to the Moon. The story details the preparations, calculations, and the daring attempt to send three men to the lunar surface.|Jules Verne\De la Tierra a la Luna|2025-10-06 16:22:34|1|144.94|True
La Ilíada|Homero|Epic Poetry|Unknown|Unknown|An ancient Greek epic poem traditionally attributed to Homer. It is set during the Trojan War, describing several weeks in the final year of the siege of the city of Troy by a coalition of Greek states, focusing on the wrath of Achilles when he is dishonored by Agamemnon and the subsequent events and battles.|Homero\La Ilíada|2025-10-06 16:22:49|1|452.85|False
La Metamorfosis|Franz Kafka|Absurdist Fiction, Existentialist Fiction, Novella|Unknown|1915|Gregor Samsa, a traveling salesman, wakes up one morning to find himself inexplicably transformed into a monstrous insect. This transformation profoundly impacts his life and his relationship with his family, leading to isolation and despair.|Franz Kafka\La Metamorfosis|2025-10-06 16:22:59|1|65.03|False
LA VUELTA AL MUNDO EN OCHENTA DÍAS|JULIO VERNE|Aventura|Unknown|1873|Un excéntrico y metódico caballero inglés, Phileas Fogg, apuesta la mitad de su fortuna a que es capaz de dar la vuelta al mundo en ochenta días. Acompañado de su recién contratado mayordomo, Jean Passepartout, Fogg se embarca en una emocionante carrera contra el tiempo, enfrentando obstáculos inesperados, malentendidos y la persecución de un detective que lo confunde con un ladrón de bancos.|JULIO VERNE\LA VUELTA AL MUNDO EN OCHENTA DÍAS|2025-10-06 16:23:08|1|234.41|False
LIBRO DE COCINA DE DIETA ANTI INFLAMATORIA|JOHN CARTER|Cookbook|Unknown|Unknown|Unknown|JOHN CARTER\LIBRO DE COCINA DE DIETA ANTI INFLAMATORIA|2025-10-06 16:23:19|1|92.76|False
LIBRO DIETA ANTIINFLAMATORIA|CHARLIE MASON|Health|Unknown|Unknown|This book provides information and guidance on following an anti-inflammatory diet, likely covering its principles, benefits, and practical advice for implementation to improve overall health and reduce inflammation.|CHARLIE MASON\LIBRO DIETA ANTIINFLAMATORIA|2025-10-06 16:23:28|1|30.64|False
Libro de Cocina de Dieta Paleo, Recetas de Cocina con Freidora de|Unknown|Cocina|Unknown|Unknown|Un audiolibro que contiene recetas de cocina centradas en la dieta Paleo y específicamente diseñadas para ser preparadas con una freidora de aire.|Unknown\Libro de Cocina de Dieta Paleo, Recetas de Cocina con Freidora de|2025-10-06 16:23:41|1|119.71|False
El problema de los tres cuerpos|Liu Cixin|Science Fiction|Remembrance of Earth's Past|2008|Set against the backdrop of China's Cultural Revolution, a secret military project sends signals into space to establish contact with aliens. An alien civilization on the brink of collapse after centuries of chaotic existence on a planet orbiting three suns intercepts the signal, and now humanity must prepare for their arrival.|Liu Cixin\El problema de los tres cuerpos|2025-10-06 16:23:54|1|407.23|True
Sostener el cielo|Liu Cixin|Science Fiction (Short Story Collection)|Unknown|2021|A collection of ten thought-provoking science fiction short stories by the acclaimed author Liu Cixin, exploring themes of cosmic scale, humanity's future, and the philosophical implications of technological advancement.|Liu Cixin\Sostener el cielo|2025-10-06 16:24:07|1|401.01|True
